"Comment ID","Comment Published Date","Comment Author Name","Comment Content","Is Thread","Comment Likes Count","Comment Replies Count","Comment URL"
"Ugj0BYsVacTS_HgCoAEC","2015-06-22 05:28:50","NOLAbrookz","her vocal runs at 3:36 are beautiful ,, completely improve cause it's different every performance","true","70","2","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugj0BYsVacTS_HgCoAEC"
"Ugj_w3dRPY8RxHgCoAEC","2015-07-15 17:02:38","Babylonkid","I love this chick!","true","33","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugj_w3dRPY8RxHgCoAEC"
"UgjOY6eXaGL213gCoAEC","2015-08-25 11:04:32","Pendekar Sarden","god help me, i am in love","true","6","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjOY6eXaGL213gCoAEC"
"UgigZf_wWeGgHHgCoAEC","2015-08-28 01:46:12","Anna Briggs","All the bimbos that think they are singers today need to see this and hide in shame.","true","66","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgigZf_wWeGgHHgCoAEC"
"UghDRQEMYq-wK3gCoAEC","2015-09-19 01:45:34","dannydontgoin237","One of my favorite songs. Great, soulful voice.","true","15","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghDRQEMYq-wK3gCoAEC"
"Ugie4N1JZXu2N3gCoAEC","2015-10-25 17:26:56","reenie rae","Amaaaazing performance!!! Her whole demeanor is so wickedly sexy!","true","4","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugie4N1JZXu2N3gCoAEC"
"Ugjtzgpb1NehfXgCoAEC","2015-10-25 17:27:27","reenie rae","Amaaaazing performance!!! Her whole demeanor is so wickedly sexy!","true","17","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugjtzgpb1NehfXgCoAEC"
"UggeKZSgHCZz2HgCoAEC","2015-11-09 01:19:49","WinterLucy","I miss the 90's :'(","true","127","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UggeKZSgHCZz2HgCoAEC"
"UghyZ117sZx1OXgCoAEC","2015-12-09 13:58:28","Aver Bile","she is fucking sexy","true","18","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghyZ117sZx1OXgCoAEC"
"UgiwcZecXIzovngCoAEC","2015-12-31 18:15:48","Madeline Kassen","THIS JUST GAVE ME LIFE","true","32","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgiwcZecXIzovngCoAEC"
"UggIukvf_dF_DHgCoAEC","2016-02-01 15:11:45","colt2919","now the masses listen to nicki minage or whatever fake name she goes by now","true","8","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UggIukvf_dF_DHgCoAEC"
"Ugifs479ucs52XgCoAEC","2016-02-13 14:38:19","Lindsay Cross","god i miss the 90s..love you fiona","true","3","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugifs479ucs52XgCoAEC"
"Ugi02JYcsWHDS3gCoAEC","2016-02-21 22:02:15","marc livingood","WOW that is how you do it","true","4","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugi02JYcsWHDS3gCoAEC"
"UghbqBdyiLyeDngCoAEC","2016-05-01 03:23:13","Tom Jones","Over 18 years ago already. Time flew like a jet does. She was and is so good too. Just like her.","true","9","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghbqBdyiLyeDngCoAEC"
"UgjWEJxpT_jm03gCoAEC","2016-05-04 22:09:23","nehiyaw10","Cocaine's a helluva drug!! Just saying!","true","8","8","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjWEJxpT_jm03gCoAEC"
"Ughgo1rNX1UGz3gCoAEC","2016-05-11 17:40:40","Matthew McNitt","Yep. Best I've seen live of this song too. She was still touring/promoting Tidal and this was perhaps her single biggest media channel to promote the song (SNL was huge too). Lot of pressure for a teenager (she'd be 20 10 days later).","true","6","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ughgo1rNX1UGz3gCoAEC"
"UghOUJGgr8W0I3gCoAEC","2016-05-16 13:39:24","Yanu","Fiona, Jewel, Tori, Bjork, I miss those days when female singer songwriter ruled music industry","true","259","20","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghOUJGgr8W0I3gCoAEC"
"UgjP0zkKtIZ3yXgCoAEC","2016-06-29 01:58:21","Alan M.","she was so freaking hot then. good lord","true","34","4","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjP0zkKtIZ3yXgCoAEC"
"UghZIBpFeTHJT3gCoAEC","2016-07-04 06:35:56","miedqy0","i don't like it. she seems to have been heavily patronised back then and sony was apparently trying to sell her as kind of 'neurotic lolita'. thankfully they failed miserably.","true","50","8","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghZIBpFeTHJT3gCoAEC"
"UgjN18HdypzY1ngCoAEC","2016-08-04 02:05:03","Nirvanaaaaaaaaaaa","2:52 emulating a bit of Eddie Vedder there. I love it.","true","9","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjN18HdypzY1ngCoAEC"
"UggLwbtKrqJgz3gCoAEC","2016-08-09 20:44:09","Monster Blister","Was she sort of a Lorde of 90's?She seems to be kinda boring indie girl!","true","2","4","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UggLwbtKrqJgz3gCoAEC"
"UggL16VxBDsnZXgCoAEC","2016-09-02 17:45:37","Dakota Flores","Wtf was she on 😆","true","2","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UggL16VxBDsnZXgCoAEC"
"UghNHUM_c4nClHgCoAEC","2016-09-13 10:49:41","Sherry the gypsy Salzman","this girl... so talented but what went wrong","true","0","3","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghNHUM_c4nClHgCoAEC"
"UgjV20FqQHjYXHgCoAEC","2017-01-04 05:13:35","Cosmodog Cosmodog","this performance is really cringe worthy","true","5","5","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjV20FqQHjYXHgCoAEC"
